"state","state_abb","category","indicator","period","period_meaningful","rsp","rsp_lower","rsp_upper","national_standard","status","data_used","as_of_date","profile_version","source","indicator_sort","indicator_short","indicator_very_short","description","denominator_def","numerator_def","direction_rule","direction_desired","direction_legend","decimal_precision","scale","format","risk_adjustment","exclusions","notes"
"Maryland","MD","Permanency","Permanency in 12 months for children entering care","20A20B","Oct '19 - Sep '20",,,,35.2,"dq","20A-22A",2024-12-17,"February 2025","Children's Bureau. (2025, Feb). MD - CFSR 4 Data Profile - Feb 2025 [pdf file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",4,"Perm in 12 months (entries)","Perm in 12 (entries)","Percent of children who enter foster care in a 12-month period who discharge to permanency within 12 months of entering care.","Number of children who enter foster care during a 12-month period.","Number of children in the denominator who discharge to permanency within 12 months of entering care.","gt","up","A higher value is more desirable.",1,100,"percent","State; age at entry; state's foster care entry rate","Children in foster care <8 days; children without a discharge reason; children who reenter in the same reporting period due to reporting structure not including discharge reason for the first episode.","Trial home visit (THV) adjustment: any THV time exceeding 30 days is discounted when the child discharges to reunification after a THV placement setting."
"Maryland","MD","Permanency","Permanency in 12 months for children entering care","20B21A","Apr '20 - Mar '21",0.285,0.26,0.312,35.2,"worse","20B-22B",2024-12-17,"February 2025","Children's Bureau. (2025, Feb). MD - CFSR 4 Data Profile - Feb 2025 [pdf file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",4,"Perm in 12 months (entries)","Perm in 12 (entries)","Percent of children who enter foster care in a 12-month period who discharge to permanency within 12 months of entering care.","Number of children who enter foster care during a 12-month period.","Number of children in the denominator who discharge to permanency within 12 months of entering care.","gt","up","A higher value is more desirable.",1,100,"percent","State; age at entry; state's foster care entry rate","Children in foster care <8 days; children without a discharge reason; children who reenter in the same reporting period due to reporting structure not including discharge reason for the first episode.","Trial home visit (THV) adjustment: any THV time exceeding 30 days is discounted when the child discharges to reunification after a THV placement setting."
"Maryland","MD","Permanency","Permanency in 12 months for children entering care","21A21B","Oct '20 - Sep '21",0.305,0.281,0.331,35.2,"worse","21A-23A",2024-12-17,"February 2025","Children's Bureau. (2025, Feb). MD - CFSR 4 Data Profile - Feb 2025 [pdf file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",4,"Perm in 12 months (entries)","Perm in 12 (entries)","Percent of children who enter foster care in a 12-month period who discharge to permanency within 12 months of entering care.","Number of children who enter foster care during a 12-month period.","Number of children in the denominator who discharge to permanency within 12 months of entering care.","gt","up","A higher value is more desirable.",1,100,"percent","State; age at entry; state's foster care entry rate","Children in foster care <8 days; children without a discharge reason; children who reenter in the same reporting period due to reporting structure not including discharge reason for the first episode.","Trial home visit (THV) adjustment: any THV time exceeding 30 days is discounted when the child discharges to reunification after a THV placement setting."
"Maryland","MD","Permanency","Permanency in 12 months for children entering care","21B22A","Apr '21 - Mar '22",0.3,0.277,0.326,35.2,"worse","21B-23B",2024-12-17,"February 2025","Children's Bureau. (2025, Feb). MD - CFSR 4 Data Profile - Feb 2025 [pdf file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",4,"Perm in 12 months (entries)","Perm in 12 (entries)","Percent of children who enter foster care in a 12-month period who discharge to permanency within 12 months of entering care.","Number of children who enter foster care during a 12-month period.","Number of children in the denominator who discharge to permanency within 12 months of entering care.","gt","up","A higher value is more desirable.",1,100,"percent","State; age at entry; state's foster care entry rate","Children in foster care <8 days; children without a discharge reason; children who reenter in the same reporting period due to reporting structure not including discharge reason for the first episode.","Trial home visit (THV) adjustment: any THV time exceeding 30 days is discounted when the child discharges to reunification after a THV placement setting."
"Maryland","MD","Permanency","Permanency in 12 months for children entering care","22A22B","Oct '21 - Sep '22",0.272,0.249,0.297,35.2,"worse","22A-24A",2024-12-17,"February 2025","Children's Bureau. (2025, Feb). MD - CFSR 4 Data Profile - Feb 2025 [pdf file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",4,"Perm in 12 months (entries)","Perm in 12 (entries)","Percent of children who enter foster care in a 12-month period who discharge to permanency within 12 months of entering care.","Number of children who enter foster care during a 12-month period.","Number of children in the denominator who discharge to permanency within 12 months of entering care.","gt","up","A higher value is more desirable.",1,100,"percent","State; age at entry; state's foster care entry rate","Children in foster care <8 days; children without a discharge reason; children who reenter in the same reporting period due to reporting structure not including discharge reason for the first episode.","Trial home visit (THV) adjustment: any THV time exceeding 30 days is discounted when the child discharges to reunification after a THV placement setting."
"Maryland","MD","Permanency","Permanency in 12 months for children entering care","22B23A","Apr '22 - Mar '23",0.246,0.222,0.271,35.2,"worse","22B-24B",2024-12-17,"February 2025","Children's Bureau. (2025, Feb). MD - CFSR 4 Data Profile - Feb 2025 [pdf file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",4,"Perm in 12 months (entries)","Perm in 12 (entries)","Percent of children who enter foster care in a 12-month period who discharge to permanency within 12 months of entering care.","Number of children who enter foster care during a 12-month period.","Number of children in the denominator who discharge to permanency within 12 months of entering care.","gt","up","A higher value is more desirable.",1,100,"percent","State; age at entry; state's foster care entry rate","Children in foster care <8 days; children without a discharge reason; children who reenter in the same reporting period due to reporting structure not including discharge reason for the first episode.","Trial home visit (THV) adjustment: any THV time exceeding 30 days is discounted when the child discharges to reunification after a THV placement setting."
"Maryland","MD","Permanency","Permanency in 12 months for children in care 12-23 months","21B22A","Apr '21 - Mar '22",0.296,0.269,0.324,43.8,"worse","21B-22A",2024-12-17,"February 2025","Children's Bureau. (2025, Feb). MD - CFSR 4 Data Profile - Feb 2025 [pdf file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",5,"Perm in 12 months (12-23 months)","Perm in 12 (12-23 mos)","Percent of children in foster care on the first day of a 12-month period who had been in care continuously for 12-23 months and who discharge to permanency within 12 months of the first day.","Number of children in foster care on the first day of the 12-month period who had been in care continuously for 12-23 months.","Number of children in the denominator who discharge to permanency within 12 months of the first day of the 12-month period.","gt","up","A higher value is more desirable.",1,100,"percent","State; age on first day","Children without a discharge reason; children who reenter foster care in the same reporting period due to reporting structure not including discharge reason for the first episode.",""
"Maryland","MD","Permanency","Permanency in 12 months for children in care 12-23 months","22A22B","Oct '21 - Sep '22",0.288,0.259,0.318,43.8,"worse","22A-22B",2024-12-17,"February 2025","Children's Bureau. (2025, Feb). MD - CFSR 4 Data Profile - Feb 2025 [pdf file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",5,"Perm in 12 months (12-23 months)","Perm in 12 (12-23 mos)","Percent of children in foster care on the first day of a 12-month period who had been in care continuously for 12-23 months and who discharge to permanency within 12 months of the first day.","Number of children in foster care on the first day of the 12-month period who had been in care continuously for 12-23 months.","Number of children in the denominator who discharge to permanency within 12 months of the first day of the 12-month period.","gt","up","A higher value is more desirable.",1,100,"percent","State; age on first day","Children without a discharge reason; children who reenter foster care in the same reporting period due to reporting structure not including discharge reason for the first episode.",""
"Maryland","MD","Permanency","Permanency in 12 months for children in care 12-23 months","22B23A","Apr '22 - Mar '23",0.351,0.319,0.384,43.8,"worse","22B-23A",2024-12-17,"February 2025","Children's Bureau. (2025, Feb). MD - CFSR 4 Data Profile - Feb 2025 [pdf file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",5,"Perm in 12 months (12-23 months)","Perm in 12 (12-23 mos)","Percent of children in foster care on the first day of a 12-month period who had been in care continuously for 12-23 months and who discharge to permanency within 12 months of the first day.","Number of children in foster care on the first day of the 12-month period who had been in care continuously for 12-23 months.","Number of children in the denominator who discharge to permanency within 12 months of the first day of the 12-month period.","gt","up","A higher value is more desirable.",1,100,"percent","State; age on first day","Children without a discharge reason; children who reenter foster care in the same reporting period due to reporting structure not including discharge reason for the first episode.",""
"Maryland","MD","Permanency","Permanency in 12 months for children in care 12-23 months","23A23B","Oct '22 - Sep '23",0.36,0.327,0.394,43.8,"worse","23A-23B",2024-12-17,"February 2025","Children's Bureau. (2025, Feb). MD - CFSR 4 Data Profile - Feb 2025 [pdf file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",5,"Perm in 12 months (12-23 months)","Perm in 12 (12-23 mos)","Percent of children in foster care on the first day of a 12-month period who had been in care continuously for 12-23 months and who discharge to permanency within 12 months of the first day.","Number of children in foster care on the first day of the 12-month period who had been in care continuously for 12-23 months.","Number of children in the denominator who discharge to permanency within 12 months of the first day of the 12-month period.","gt","up","A higher value is more desirable.",1,100,"percent","State; age on first day","Children without a discharge reason; children who reenter foster care in the same reporting period due to reporting structure not including discharge reason for the first episode.",""
"Maryland","MD","Permanency","Permanency in 12 months for children in care 12-23 months","23B24A","Apr '23 - Mar '24",0.324,0.293,0.356,43.8,"worse","23B-24A",2024-12-17,"February 2025","Children's Bureau. (2025, Feb). MD - CFSR 4 Data Profile - Feb 2025 [pdf file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",5,"Perm in 12 months (12-23 months)","Perm in 12 (12-23 mos)","Percent of children in foster care on the first day of a 12-month period who had been in care continuously for 12-23 months and who discharge to permanency within 12 months of the first day.","Number of children in foster care on the first day of the 12-month period who had been in care continuously for 12-23 months.","Number of children in the denominator who discharge to permanency within 12 months of the first day of the 12-month period.","gt","up","A higher value is more desirable.",1,100,"percent","State; age on first day","Children without a discharge reason; children who reenter foster care in the same reporting period due to reporting structure not including discharge reason for the first episode.",""
"Maryland","MD","Permanency","Permanency in 12 months for children in care 12-23 months","24A24B","Oct '23 - Sep '24",0.37,0.339,0.402,43.8,"worse","24A-24B",2024-12-17,"February 2025","Children's Bureau. (2025, Feb). MD - CFSR 4 Data Profile - Feb 2025 [pdf file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",5,"Perm in 12 months (12-23 months)","Perm in 12 (12-23 mos)","Percent of children in foster care on the first day of a 12-month period who had been in care continuously for 12-23 months and who discharge to permanency within 12 months of the first day.","Number of children in foster care on the first day of the 12-month period who had been in care continuously for 12-23 months.","Number of children in the denominator who discharge to permanency within 12 months of the first day of the 12-month period.","gt","up","A higher value is more desirable.",1,100,"percent","State; age on first day","Children without a discharge reason; children who reenter foster care in the same reporting period due to reporting structure not including discharge reason for the first episode.",""
"Maryland","MD","Permanency","Permanency in 12 months for children in care 24 months or more","21B22A","Apr '21 - Mar '22",0.278,0.257,0.299,37.3,"worse","21B-22A",2024-12-17,"February 2025","Children's Bureau. (2025, Feb). MD - CFSR 4 Data Profile - Feb 2025 [pdf file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",6,"Perm in 12 months (24 months or more)","Perm in 12 (24+ mos)","Percent of children in foster care on the first day of a 12-month period who had been in care continuously for 24 months or more and who discharge to permanency within 12 months of the first day.","Number of children in foster care on the first day of the 12-month period who had been in care continuously for 24 months or more.","Number of children in the denominator who discharge to permanency within 12 months of the first day of the 12-month period.","gt","up","A higher value is more desirable.",1,100,"percent","State; age on first day","Children without a discharge reason; children who re‑enter foster care in the same reporting period due to reporting structure not including discharge reason for the first episode.",""
"Maryland","MD","Permanency","Permanency in 12 months for children in care 24 months or more","22A22B","Oct '21 - Sep '22",0.268,0.247,0.29,37.3,"worse","22A-22B",2024-12-17,"February 2025","Children's Bureau. (2025, Feb). MD - CFSR 4 Data Profile - Feb 2025 [pdf file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",6,"Perm in 12 months (24 months or more)","Perm in 12 (24+ mos)","Percent of children in foster care on the first day of a 12-month period who had been in care continuously for 24 months or more and who discharge to permanency within 12 months of the first day.","Number of children in foster care on the first day of the 12-month period who had been in care continuously for 24 months or more.","Number of children in the denominator who discharge to permanency within 12 months of the first day of the 12-month period.","gt","up","A higher value is more desirable.",1,100,"percent","State; age on first day","Children without a discharge reason; children who re‑enter foster care in the same reporting period due to reporting structure not including discharge reason for the first episode.",""
"Maryland","MD","Permanency","Permanency in 12 months for children in care 24 months or more","22B23A","Apr '22 - Mar '23",0.244,0.225,0.264,37.3,"worse","22B-23A",2024-12-17,"February 2025","Children's Bureau. (2025, Feb). MD - CFSR 4 Data Profile - Feb 2025 [pdf file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",6,"Perm in 12 months (24 months or more)","Perm in 12 (24+ mos)","Percent of children in foster care on the first day of a 12-month period who had been in care continuously for 24 months or more and who discharge to permanency within 12 months of the first day.","Number of children in foster care on the first day of the 12-month period who had been in care continuously for 24 months or more.","Number of children in the denominator who discharge to permanency within 12 months of the first day of the 12-month period.","gt","up","A higher value is more desirable.",1,100,"percent","State; age on first day","Children without a discharge reason; children who re‑enter foster care in the same reporting period due to reporting structure not including discharge reason for the first episode.",""
"Maryland","MD","Permanency","Permanency in 12 months for children in care 24 months or more","23A23B","Oct '22 - Sep '23",0.321,0.299,0.343,37.3,"worse","23A-23B",2024-12-17,"February 2025","Children's Bureau. (2025, Feb). MD - CFSR 4 Data Profile - Feb 2025 [pdf file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",6,"Perm in 12 months (24 months or more)","Perm in 12 (24+ mos)","Percent of children in foster care on the first day of a 12-month period who had been in care continuously for 24 months or more and who discharge to permanency within 12 months of the first day.","Number of children in foster care on the first day of the 12-month period who had been in care continuously for 24 months or more.","Number of children in the denominator who discharge to permanency within 12 months of the first day of the 12-month period.","gt","up","A higher value is more desirable.",1,100,"percent","State; age on first day","Children without a discharge reason; children who re‑enter foster care in the same reporting period due to reporting structure not including discharge reason for the first episode.",""
"Maryland","MD","Permanency","Permanency in 12 months for children in care 24 months or more","23B24A","Apr '23 - Mar '24",0.329,0.306,0.352,37.3,"worse","23B-24A",2024-12-17,"February 2025","Children's Bureau. (2025, Feb). MD - CFSR 4 Data Profile - Feb 2025 [pdf file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",6,"Perm in 12 months (24 months or more)","Perm in 12 (24+ mos)","Percent of children in foster care on the first day of a 12-month period who had been in care continuously for 24 months or more and who discharge to permanency within 12 months of the first day.","Number of children in foster care on the first day of the 12-month period who had been in care continuously for 24 months or more.","Number of children in the denominator who discharge to permanency within 12 months of the first day of the 12-month period.","gt","up","A higher value is more desirable.",1,100,"percent","State; age on first day","Children without a discharge reason; children who re‑enter foster care in the same reporting period due to reporting structure not including discharge reason for the first episode.",""
"Maryland","MD","Permanency","Permanency in 12 months for children in care 24 months or more","24A24B","Oct '23 - Sep '24",0.327,0.304,0.351,37.3,"worse","24A-24B",2024-12-17,"February 2025","Children's Bureau. (2025, Feb). MD - CFSR 4 Data Profile - Feb 2025 [pdf file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",6,"Perm in 12 months (24 months or more)","Perm in 12 (24+ mos)","Percent of children in foster care on the first day of a 12-month period who had been in care continuously for 24 months or more and who discharge to permanency within 12 months of the first day.","Number of children in foster care on the first day of the 12-month period who had been in care continuously for 24 months or more.","Number of children in the denominator who discharge to permanency within 12 months of the first day of the 12-month period.","gt","up","A higher value is more desirable.",1,100,"percent","State; age on first day","Children without a discharge reason; children who re‑enter foster care in the same reporting period due to reporting structure not including discharge reason for the first episode.",""
